# This file was generated by Iris, the VAO SED building and analysis tool
#
# File created on Fri Dec 18 14:14:23 EST 2015
#
#
# TARGET = SFGs z~1
# RA = NaN
# DEC = NaN
# XUNIT = μm
# YUNIT = mJy
#
# x y y_err

9.71659919028 0.34333 0.0063999998383224
9.75609756098 0.27305999999999997 0.0066999997943639755
9.87654320988 0.90882 0.007899999618530272
10.5726872247 0.76272 0.007499999832361937
10.7142857143 0.78176 0.008799999952316284
10.7623318386 0.4905999999999997 0.008200000040233135
10.8108108108 0.9856799999999993 0.005499999970197676
11.1627906977 0.9696499999999997 0.008799999952316284
11.4285714286 0.24149999999999996 0.006899999920278787
11.4285714286 1.2579 0.007899999618530272
11.5942028986 0.6955199999999997 0.0063999998383224
11.7073170732 0.54735 0.005799999926239251
11.7647058824 0.45084 0.007899999618530272
11.7647058824 0.41003999999999974 0.007199999876320362
11.7647058824 0.43247999999999975 0.0076000001281499845
11.8811881188 1.1736199999999994 0.008999999612569809
11.9402985075 1.4672999999999994 0.01269999984651804
12.0603015075 0.49153 0.008799999952316284
12.1827411168 1.9522699999999993 0.008799999952316282
12.1827411168 0.56736 0.006200000178068875
12.1827411168 0.39399999999999996 0.0071000000461936
12.2448979592 0.45472000000000007 0.0082999998703599
12.2448979592 0.5076399999999999 0.005599999800324439
12.2448979592 0.84084 0.007300000172108412
12.3076923077 1.0003499999999996 0.007499999832361937
12.3076923077 1.3552499999999992 0.01150000002235174
12.3076923077 0.7097999999999995 0.005499999970197676
12.3711340206 0.65572 0.006099999882280827
12.3711340206 0.4869399999999997 0.008899999782443045
12.5654450262 0.7067 0.0063999998383224
12.6315789474 0.6630999999999997 0.006000000052154064
12.7659574468 1.03964 0.013000000268220901
12.9032258065 1.6107600000000002 0.010300000198185444
12.9032258065 0.5412599999999995 0.008700000122189524
12.972972973 0.9286999999999999 0.007699999958276748
13.0434782609 1.3984 0.008200000040233135
13.0434782609 1.07088 0.011400000192224978
13.0434782609 0.89056 0.006200000178068876
13.0434782609 0.9126399999999996 0.006599999964237213
13.114754098399999 0.52155 0.006200000178068875
13.114754098399999 0.3367199999999999 0.006500000134110451
13.1868131868 0.81172 0.00930000003427267
13.333333333300002 0.6695999999999996 0.006200000178068875
13.4078212291 1.53761 0.010800000280141827
13.4831460674 0.33998 0.007199999876320362
13.7931034483 0.95526 0.007499999832361937
13.7931034483 0.8195399999999997 0.00800000037997961
13.8728323699 0.7975299999999996 0.00779999978840351
14.371257485000001 0.6179 0.006399999838322401
14.371257485000001 0.27054000000000006 0.005700000096112489
14.634146341500001 1.2152399999999997 0.007100000046193598
14.634146341500001 1.189 0.006800000090152024
14.634146341500001 2.05 0.010099999606609344
14.634146341500001 0.9315199999999996 0.012400000356137749
15.0 1.1296 0.007600000128149985
15.3846153846 0.18563999999999997 0.00719999987632036
15.686274509800002 0.18054 0.0071000000461936
16.3265306122 0.49539 0.010900000110268591
16.3265306122 1.42737 0.010900000110268591
16.4383561644 0.61174 0.008899999782443045
16.4383561644 1.1417199999999994 0.00839999970048666
16.5517241379 1.0120999999999998 0.009999999776482582
17.1428571429 1.0681999999999998 0.00800000037997961
17.6470588235 0.28151999999999994 0.007400000002235174
18.320610687 1.3755 0.01020000036805868
28.8065843621 13.6566 0.7099999785423278
30.8370044053 15.912699999999989 0.7300000190734862
31.25 5.3984 0.6999999880790709
31.5315315315 29.303999999999995 0.6600000262260437
32.5581395349 11.480999999999998 0.6800000071525573
33.3333333333 5.67 0.49999999999999994
33.8164251208 4.1814 0.8299999833106995
34.1463414634 4.3255 0.5099999904632567
