##---File: sp/PHR1731-2216_6D220701HD.fits
#angstro      ---    
#Wavelen     Value   
 6439.0  1.16318e+01
 6439.8  7.71892e+00
 6440.6  1.72390e+01
 6441.4  2.04104e+01
 6442.2  8.79430e+00
 6443.0 -1.91335e+00
 6443.8  8.90049e+00
 6444.6  1.67612e+01
 6445.4  1.49852e+01
 6446.2  1.46655e+01
 6447.0  7.81551e+00
 6447.8  3.04140e+00
 6448.6 -1.36082e+00
 6449.4  1.17121e+01
 6450.2  1.43412e+01
 6450.9  1.10357e+01
 6451.7  1.42895e+01
 6452.5  1.94339e+01
 6453.3  3.96309e-01
 6454.1  4.12185e+00
 6454.9  1.09492e+01
 6455.7  1.49871e+01
 6456.5  1.04362e+01
 6457.3  1.25874e+01
 6458.1  4.93620e+00
 6458.9 -2.28107e+00
 6459.7 -1.69521e+00
 6460.5  9.86957e+00
 6461.3  2.03218e+01
 6462.1  1.07838e+01
 6462.9  9.70810e+00
 6463.6  5.31247e+00
 6464.4  1.06270e+01
 6465.2  5.19218e+00
 6466.0  1.61456e+01
 6466.8  1.54547e+01
 6467.6 -6.20514e-01
 6468.4  1.84256e+01
 6469.2  1.67852e+01
 6470.0  9.46408e+00
 6470.8  2.98447e+01
 6471.6  2.97116e+01
 6472.4  1.76634e+01
 6473.2  1.66340e+00
 6474.0  7.13593e-01
 6474.8  1.19924e+00
 6475.6  1.27570e+01
 6476.4  1.57857e+01
 6477.1  8.97173e+00
 6477.9  1.34754e+01
 6478.7  4.65970e+00
 6479.5  2.05191e+01
 6480.3  2.61906e+01
 6481.1  1.84572e+01
 6481.9  1.34476e+01
 6482.7  1.67250e+01
 6483.5  1.53299e+01
 6484.3  2.44759e+01
 6485.1  5.64899e+00
 6485.9  1.33777e+01
 6486.7  5.41461e+00
 6487.5  1.17412e+01
 6488.3  6.80771e-02
 6489.1  7.25257e+00
 6489.8  6.89472e+00
 6490.6  9.87687e+00
 6491.4  1.67104e+01
 6492.2  8.28124e+00
 6493.0  4.94764e+00
 6493.8  3.45168e+00
 6494.6  9.59619e+00
 6495.4  1.29598e+01
 6496.2  1.29692e+01
 6497.0  8.60294e+00
 6497.8  2.45750e+01
 6498.6  3.67494e+01
 6499.4  1.65460e+01
 6500.2  1.08867e+01
 6501.0  4.74791e+00
 6501.8  1.08733e+01
 6502.5  1.69576e+01
 6503.3  1.58499e+01
 6504.1  1.51568e+01
 6504.9  8.51897e+00
 6505.7  4.61327e+00
 6506.5  1.24108e+01
 6507.3  1.09287e+01
 6508.1  2.11568e+01
 6508.9  1.95075e+01
 6509.7  4.82976e+00
 6510.5  1.29144e+00
 6511.3  1.26737e+01
 6512.1  4.62440e+00
 6512.9  2.79950e+00
 6513.7  1.42285e+01
 6514.5  2.56353e+01
 6515.2  1.62301e+01
 6516.0  1.56488e+01
 6516.8  1.57414e+01
 6517.6  1.67873e+01
 6518.4  8.05616e+00
 6519.2  1.02450e+01
 6520.0  1.89782e+01
 6520.8  1.58364e+01
 6521.6  2.26121e+01
 6522.4  1.64253e+01
 6523.2  1.41990e+01
 6524.0 -2.12759e+00
 6524.8  8.34956e+00
 6525.6  1.65280e+01
 6526.4  1.90207e+01
 6527.2  1.94683e+00
 6527.9  1.28697e+01
 6528.7  7.79971e+00
 6529.5  2.04201e+01
 6530.3  2.35002e+01
 6531.1  3.05133e+01
 6531.9  1.56107e+01
 6532.7 -1.19281e+01
 6533.5 -1.20430e+01
 6534.3  8.92654e-01
 6535.1  1.95674e+01
 6535.9  1.43410e+01
 6536.7  8.46266e+00
 6537.5  1.71344e+01
 6538.3  5.11331e+00
 6539.1  9.66218e+00
 6539.9  1.30665e+01
 6540.6  1.86566e+01
 6541.4  1.26304e+01
 6542.2  3.77488e+00
 6543.0  5.80057e+00
 6543.8 -2.58682e+00
 6544.6  1.15331e+01
 6545.4  1.12385e+01
 6546.2  1.52982e+01
 6547.0  1.20499e+01
 6547.8  1.62430e+01
 6548.6  4.33848e+01
 6549.4  9.32799e+01
 6550.2  1.30990e+02
 6551.0  8.64110e+01
 6551.8  5.31175e+01
 6552.6  6.73132e+01
 6553.3  1.77958e+01
 6554.1  2.65017e+01
 6554.9  2.28992e+01
 6555.7  1.45685e+01
 6556.5  1.31628e+01
 6557.3  9.93060e+00
 6558.1  1.60819e+01
