# col0 col1
10000.0 0.0
10069.3863148 0.0
10139.2540756 0.0
10209.6066231 0.0
10280.4473209 0.0
10351.7795563 0.0
10423.6067398 0.0
10495.9323056 0.0
10568.7597118 0.0
10642.0924406 0.0
10715.9339982 0.0
10790.2879152 0.0
10865.1577465 0.0
10940.5470721 0.0
11016.4594963 0.0
11092.898649 0.0
11169.8681847 0.0
11247.3717836 0.0
11325.4131515 0.0
11403.9960197 0.0
11483.1241454 0.0
11562.8013121 0.0
11643.0313292 0.0
11723.8180329 0.0
11805.1652857 0.0
11887.0769771 0.0
11969.5570236 0.0
12052.6093687 0.0
12136.2379834 0.0
12220.4468663 0.0
12305.2400436 0.0
12390.6215695 0.0
12476.5955263 0.0
12563.1660247 0.0
12650.337204 0.0
12738.1132319 0.0
12826.4983053 0.0
12915.4966501 0.0
13005.1125217 0.0
13095.3502048 0.0
13186.2140139 0.0
13277.7082936 0.0
13369.8374182 0.0
13462.605793 1e-26
13556.0178533 2e-26
13650.0780655 4e-26
13744.7909268 7e-26
13840.1609657 1.4e-25
13936.1927422 2.8e-25
14032.8908479 5.5e-25
14130.259906 1.06e-24
14228.3045721 2.04e-24
14327.0295341 3.92e-24
14426.4395122 7.49e-24
14526.5392595 1.424e-23
14627.333562 2.695e-23
14728.8272391 5.074e-23
14831.0251434 9.51e-23
14933.9321612 1.774e-22
15037.553213 3.2943e-22
15141.893253 6.0895e-22
15246.9572702 1.12052e-21
15352.7502878 2.0526e-21
15459.2773642 3.74318e-21
15566.5435927 6.79586e-21
15674.5541021 1.22837e-20
15783.3140565 2.21059e-20
15892.8286562 3.960903e-20
16003.1031374 7.066434e-20
16114.1427725 1.2552769e-19
16225.9528708 2.2203668e-19
16338.5387781 3.9108276e-19
16451.9058775 6.8593671e-19
16566.0595895 1.19807345e-18
16681.005372 2.08391205e-18
16796.7487209 3.60980962e-18
16913.2951703 6.22745388e-18
17030.6502925 1.069966821e-17
17148.8196987 1.830947288e-17
17267.8090388 3.120607878e-17
17387.6240022 5.297517416e-17
17508.2703174 8.957510821e-17
17629.7537529 1.5086756663e-16
17752.0801172 2.5311027984e-16
17875.255259 4.2300033781e-16
17999.2850678 7.0420689543e-16
18124.1754737 1.1678847251e-15
18249.9324482 1.92952880809e-15
18376.5620039 3.17589034078e-15
18504.0701954 5.2077958731e-15
18632.4631193 8.50800691202e-15
18761.7469144 1.38483575165e-14
18891.9277621 2.24582701149e-14
19023.0118867 3.62888252153e-14
19155.0055557 5.84250359378e-14
19287.9150802 9.37271391118e-14
19421.7468149 1.49824478599e-13
19556.5071587 2.38650255555e-13
19692.2025548 3.78802945516e-13
19828.8394913 5.99166650718e-13
19966.4245011 9.44441830958e-13
20104.9641626 1.48356464447e-12
20244.4650998 2.3224786211e-12
20384.9339825 3.62344108498e-12
20526.3775271 5.63410689399e-12
20668.8024963 8.73119039011e-12
20812.2156999 1.34857890474e-11
20956.6239948 2.07607841611e-11
21102.0342857 3.18555805744e-11
21248.453525 4.87204733805e-11
21395.8887134 7.42730799598e-11
21544.3469003 1.12863890383e-10
21693.8351839 1.70958960714e-10
21844.3607115 2.58137766369e-10
21995.9306803 3.88546984272e-10
22148.5523373 5.83011709564e-10
22302.2329797 8.72091617881e-10
22456.9799554 1.3004909728e-09
22612.8006634 1.93340215098e-09
22769.7025538 2.86560183171e-09
22927.6931287 4.23445373493e-09
23086.7799419 6.23843819913e-09
23246.9705999 9.16347670333e-09
23408.2727618 1.34202163831e-08
23570.69414 1.95966775962e-08
23734.2425002 2.85323710389e-08
23898.9256623 4.14223275437e-08
24064.7515002 5.99626790313e-08
24231.7279424 8.65537853805e-08
24399.8629726 1.2458282302e-07
24569.1646298 1.78815774613e-07
24739.6410089 2.55939599321e-07
24911.3002607 3.65309964876e-07
25084.1505928 5.19979533111e-07
25258.2002696 7.38108050331e-07
25433.457613 1.04489055444e-06
25609.9310026 1.4751866857e-06
25787.6288759 2.07709604486e-06
25966.5597293 2.91680654817e-06
26146.732118 4.08515096122e-06
26328.1546565 5.70644923363e-06
26510.8360191 7.95040118618e-06
26694.7849403 1.10480387281e-05
26880.0102154 1.53130660174e-05
27066.5207003 2.11703314191e-05
27254.3253128 2.9193714265e-05
27443.4330323 4.01564071878e-05
27633.8529005 5.50974753886e-05
27825.5940221 7.54097333959e-05
28018.6655646 0.000102955467914
28213.0767594 0.000140218440386
28408.8369018 0.000190503035253
28605.9553518 0.000258194517253
28804.441534 0.000349098294899
29004.3049386 0.000470881070159
29205.5551218 0.000633643049686
29408.2017059 0.000850658325505
29612.2543799 0.001139330503
29817.7229002 0.00152242315202
30024.6170909 0.00202964028403
30232.9468441 0.00269965154789
30442.7221206 0.00358268108177
30653.9529506 0.00474380904381
30866.6494334 0.00626717208035
31080.8217387 0.00826129496493
31296.4801067 0.0108658422599
31513.6348487 0.014260148409
31732.2963473 0.018673969909
31952.4750576 0.0244010074058
32174.1815068 0.0318158726307
32397.4262953 0.0413953296631
32622.2200971 0.0537448275873
32848.5736603 0.0696315686897
33076.4978074 0.0900256305849
33306.0034362 0.116150991051
33537.10152 0.149548701455
33769.8031083 0.192154930788
34004.119327 0.246397171868
34240.0613797 0.315312580921
34477.6405473 0.402693230963
34716.8681893 0.513264020426
34957.7557436 0.65290011737
35200.314728 0.828892165927
35444.5567397 1.05026906953
35690.4934568 1.32819003398
35938.136638 1.67641974699
36187.4981241 2.11190313995
36438.5898376 2.65545918006
36691.423784 3.33261664103
36946.012052 4.17461887211
37202.3668141 5.21962930998
37460.5003275 6.51417494885
37720.4249342 8.11487130395
37982.1530619 10.0904796875
38245.6972247 12.5243559925
38511.0700233 15.5173597892
38778.2841459 19.1913035399
39047.3523689 23.6930342998
39318.2875571 29.1992545871
39591.1026647 35.9222053803
39865.8107358 44.1163526558
40142.424905 54.0862397727
40420.958398 66.1956915896
40701.4245322 80.8785827692
40983.8367176 98.6514125784
41268.208457 120.127961969
41554.5533472 146.036346172
41842.885079 177.23881782
42133.2174385 214.75472216
42425.5643072 259.787057581
42719.9396631 313.753151966
43016.3575811 378.320028695
43314.8322338 455.445105927
43615.3778921 547.422949635
43918.008926 656.938885146
44222.7398051 787.130364226
44529.5850994 941.65708555
44838.5594802 1124.78097612
45149.6777204 1341.4572605
45462.9546953 1597.43797393
45778.4053838 1899.38941506
46096.0448683 2255.02518448
46415.8883361 2673.25661727
46737.9510799 3164.36259087
47062.2484984 3740.18087516
47388.7960972 4414.32338915
47717.6094894 5202.41793846
48048.7043966 6122.37923005
48382.0966493 7194.71219542
48717.8021879 8442.85090031
49055.8370637 9893.53657796
49396.2174388 11577.2385937
49738.9595879 13528.6224296
50084.0798985 15787.0690715
50431.5948717 18397.2504804
50781.5211233 21409.766141
51133.8753841 24881.8459987
51488.6745014 28878.1254163
51845.9354389 33471.4981118
52205.6752785 38744.0533648
52567.9112202 44788.1041105
52932.6605836 51707.3128642
53299.9408084 59617.9227419
53669.7694554 68650.1011566
54042.1642071 78949.4040681
54417.1428687 90678.3689555
54794.723369 104018.244948
55174.9237613 119170.868797
55557.762224 136360.695589
55943.2570617 155836.993295
56331.426706 177876.210401
56722.2897164 202784.525973
57115.8647813 230900.591594
57512.1707184 262598.474613
57911.2264764 298290.812113
58313.0511353 338432.184913
58717.6639073 383522.720768
59125.0841383 434111.935652
59535.3313081 490802.821764
59948.4250319 554256.190455
60364.3850608 625195.277828
60783.231283 704410.620177
61204.9837248 792765.205785
61629.6625513 891199.908839
62057.2880678 1000739.21035
62487.8807201 1122497.20999
62921.4610961 1257683.93176
63358.0499266 1407611.92501
63797.6680861 1573703.16138
64240.3365939 1757496.22641
64686.0766155 1960653.80341
65134.9094627 2184970.44533
65586.8565957 2432380.62859
66041.9396233 2704967.08133
66500.1803043 3004969.37595
66961.6005485 3334792.77455
67426.2224178 3697017.31292
67894.068127 4094407.10714
68365.1600451 4529919.86421
68839.5206965 5006716.57575
69317.1727616 5528171.37142
69798.1390783 6097881.50631
70282.4426431 6719677.45372
70770.1066118 7397633.07252
71261.1543011 8136075.81542
71755.6091894 8939596.94208
72253.4949179 9813061.69831
72754.835292 10761619.4202
73259.6542822 11790713.5192
73767.9760253 12906091.3025
74279.8248256 14113813.58
74795.2251562 15420264.0065
75314.2016597 16832158.1077
75836.77915 18356551.9344
76362.9826128 20000850.2874
76892.8372076 21772814.4578
77426.3682681 23680569.4192
77963.6013041 25732610.4143
78504.562002 27937808.8722
79049.276227 30305417.5947
79597.7700231 32845075.1478
80150.0696157 35566809.3967
80706.2014115 38481040.1188
81266.1920009 41598580.6356
81830.0681587 44930638.3977
82397.8568453 48488814.4652
82969.5852083 52285101.8229
83545.2805838 56331882.4726
84124.9704974 60641923.2474
84708.6826656 65228370.2955
85296.4449974 70104742.1822
85888.2855955 75284921.5651
86484.2327573 80783145.3967
87084.3149769 86613993.6181
87688.5609459 92792376.3054
88296.9995549 99333519.2414
88909.6598953 106252947.884
89526.57126 113566469.714
90147.7631452 121290154.944
90773.2652521 129440315.582
91403.1074876 138033482.848
92037.3199662 147086382.938
92675.9330115 156615911.159
93318.9771573 166639104.44
93966.4831495 177173112.245
94618.4819472 188235165.921
95275.0047243 199842546.515
95936.0828709 212012551.106
96601.7479952 224762457.701
97272.0319245 238109488.75
97946.966707 252070773.361
98626.5846131 266663308.262
99310.9181375 281903917.613
100000.0 297809211.737
100693.863148 314395544.872
101392.540756 331678972.035
102096.066231 349675205.111
102804.473209 368399568.269
103517.795563 387866952.825
104236.067398 408091771.672
104959.323056 429087913.399
105687.597118 450868696.232
106420.924406 473446821.934
107159.339982 496834329.789
107902.879152 521042550.818
