# col0 col1
10000.0 0.0
10069.3863148 0.0
10139.2540756 0.0
10209.6066231 0.0
10280.4473209 0.0
10351.7795563 0.0
10423.6067398 0.0
10495.9323056 0.0
10568.7597118 0.0
10642.0924406 0.0
10715.9339982 0.0
10790.2879152 0.0
10865.1577465 0.0
10940.5470721 0.0
11016.4594963 0.0
11092.898649 0.0
11169.8681847 0.0
11247.3717836 0.0
11325.4131515 0.0
11403.9960197 0.0
11483.1241454 0.0
11562.8013121 0.0
11643.0313292 0.0
11723.8180329 0.0
11805.1652857 0.0
11887.0769771 0.0
11969.5570236 0.0
12052.6093687 0.0
12136.2379834 0.0
12220.4468663 0.0
12305.2400436 0.0
12390.6215695 0.0
12476.5955263 0.0
12563.1660247 0.0
12650.337204 0.0
12738.1132319 0.0
12826.4983053 0.0
12915.4966501 0.0
13005.1125217 0.0
13095.3502048 0.0
13186.2140139 0.0
13277.7082936 0.0
13369.8374182 0.0
13462.605793 0.0
13556.0178533 0.0
13650.0780655 0.0
13744.7909268 0.0
13840.1609657 0.0
13936.1927422 0.0
14032.8908479 0.0
14130.259906 0.0
14228.3045721 0.0
14327.0295341 0.0
14426.4395122 0.0
14526.5392595 0.0
14627.333562 0.0
14728.8272391 0.0
14831.0251434 0.0
14933.9321612 0.0
15037.553213 0.0
15141.893253 0.0
15246.9572702 0.0
15352.7502878 0.0
15459.2773642 0.0
15566.5435927 0.0
15674.5541021 0.0
15783.3140565 0.0
15892.8286562 0.0
16003.1031374 0.0
16114.1427725 0.0
16225.9528708 0.0
16338.5387781 0.0
16451.9058775 0.0
16566.0595895 0.0
16681.005372 0.0
16796.7487209 0.0
16913.2951703 0.0
17030.6502925 0.0
17148.8196987 0.0
17267.8090388 0.0
17387.6240022 0.0
17508.2703174 0.0
17629.7537529 0.0
17752.0801172 0.0
17875.255259 0.0
17999.2850678 0.0
18124.1754737 0.0
18249.9324482 0.0
18376.5620039 0.0
18504.0701954 0.0
18632.4631193 0.0
18761.7469144 0.0
18891.9277621 0.0
19023.0118867 0.0
19155.0055557 0.0
19287.9150802 0.0
19421.7468149 0.0
19556.5071587 0.0
19692.2025548 0.0
19828.8394913 0.0
19966.4245011 0.0
20104.9641626 0.0
20244.4650998 0.0
20384.9339825 0.0
20526.3775271 0.0
20668.8024963 0.0
20812.2156999 0.0
20956.6239948 0.0
21102.0342857 0.0
21248.453525 0.0
21395.8887134 0.0
21544.3469003 0.0
21693.8351839 0.0
21844.3607115 0.0
21995.9306803 0.0
22148.5523373 0.0
22302.2329797 0.0
22456.9799554 0.0
22612.8006634 0.0
22769.7025538 0.0
22927.6931287 0.0
23086.7799419 0.0
23246.9705999 0.0
23408.2727618 0.0
23570.69414 0.0
23734.2425002 0.0
23898.9256623 0.0
24064.7515002 0.0
24231.7279424 0.0
24399.8629726 0.0
24569.1646298 0.0
24739.6410089 0.0
24911.3002607 0.0
25084.1505928 1e-26
25258.2002696 2e-26
25433.457613 3e-26
25609.9310026 6e-26
25787.6288759 1.2e-25
25966.5597293 2.4e-25
26146.732118 4.5e-25
26328.1546565 8.6e-25
26510.8360191 1.63e-24
26694.7849403 3.07e-24
26880.0102154 5.77e-24
27066.5207003 1.079e-23
27254.3253128 2.008e-23
27443.4330323 3.72e-23
27633.8529005 6.859e-23
27825.5940221 1.2591e-22
28018.6655646 2.3009e-22
28213.0767594 4.1858e-22
28408.8369018 7.5813e-22
28605.9553518 1.36709e-21
28804.441534 2.45443e-21
29004.3049386 4.38751e-21
29205.5551218 7.80931e-21
29408.2017059 1.384037e-20
29612.2543799 2.442506e-20
29817.7229002 4.292291e-20
30024.6170909 7.511401e-20
30232.9468441 1.3090116e-19
30442.7221206 2.2717962e-19
30653.9529506 3.9265477e-19
30866.6494334 6.7589672e-19
31080.8217387 1.15875057e-18
31296.4801067 1.97857207e-18
31513.6348487 3.36494613e-18
31732.2963473 5.70007603e-18
31952.4750576 9.61770274e-18
32174.1815068 1.616449034e-17
32397.4262953 2.706227865e-17
32622.2200971 4.513256539e-17
32848.5736603 7.498088214e-17
33076.4978074 1.24095894e-16
33306.0034362 2.0460771944e-16
33537.10152 3.3609006139e-16
33769.8031083 5.500087726e-16
34004.119327 8.9675749537e-16
34240.0613797 1.45674303623e-15
34477.6405473 2.35778624847e-15
34716.8681893 3.80233508111e-15
34957.7557436 6.10986585922e-15
35200.314728 9.78270774644e-15
35444.5567397 1.56078580156e-14
35690.4934568 2.4813897733e-14
35938.136638 3.93119590726e-14
36187.4981241 6.20644470228e-14
36438.5898376 9.7647249197e-14
36691.423784 1.53103951571e-13
36946.012052 2.3923918937e-13
37202.3668141 3.72570085924e-13
37460.5003275 5.78260477485e-13
37720.4249342 8.9451776343e-13
37982.1530619 1.37915904e-12
38245.6972247 2.11938363891e-12
38511.0700233 3.24626900334e-12
38778.2841459 4.95620110566e-12
39047.3523689 7.54245178788e-12
39318.2875571 1.14415542791e-11
39591.1026647 1.73011891287e-11
39865.8107358 2.60792350187e-11
40142.424905 3.91878252734e-11
40420.958398 5.87021878204e-11
40701.4245322 8.76624383728e-11
40983.8367176 1.30508320325e-10
41268.208457 1.93703489766e-10
41554.5533472 2.86629188566e-10
41842.885079 4.22859583731e-10
42133.2174385 6.2197616742e-10
42425.5643072 9.12141169042e-10
42719.9396631 1.33373639901e-09
43016.3575811 1.94449309018e-09
43314.8322338 2.8267019691e-09
43615.3778921 4.09731691842e-09
43918.008926 5.92207158085e-09
44222.7398051 8.53514473352e-09
44529.5850994 1.22664754099e-08
44838.5594802 1.75795933334e-08
45149.6777204 2.51238615426e-08
45462.9546953 3.58064150484e-08
45778.4053838 5.08909391141e-08
46096.0448683 7.21329171263e-08
46415.8883361 1.01964292475e-07
46737.9510799 1.43744894353e-07
47062.2484984 2.0210381619e-07
47388.7960972 2.83401651651e-07
47717.6094894 3.96354661448e-07
48048.7043966 5.52875305747e-07
48382.0966493 7.69201085224e-07
48717.8021879 1.06740651122e-06
49055.8370637 1.47742283546e-06
49396.2174388 2.0397289055e-06
49738.9595879 2.80892670701e-06
50084.0798985 3.85848002088e-06
50431.5948717 5.28697822064e-06
50781.5211233 7.22639468212e-06
51133.8753841 9.85294700249e-06
51488.6745014 1.34013422905e-05
51845.9354389 1.81834152658e-05
52205.6752785 2.4612452344e-05
52567.9112202 3.32348568882e-05
52932.6605836 4.47712687016e-05
53299.9408084 6.01698285164e-05
53669.7694554 8.06750051386e-05
54042.1642071 0.000107916315219
54417.1428687 0.00014402240769
54794.723369 0.000191767410919
55174.9237613 0.000254758216698
55557.762224 0.000337673581527
55943.2570617 0.000446568659744
56331.426706 0.000589261962478
56722.2897164 0.000775825903144
57115.8647813 0.00101920721485
57512.1707184 0.00133600981231
57911.2264764 0.00174748036527
58313.0511353 0.00228074624415
58717.6639073 0.00297036693827
59125.0841383 0.00386027394549
59535.3313081 0.00500619097519
59948.4250319 0.00647864667089
60364.3850608 0.00836671661968
60783.231283 0.0107826609676
61204.9837248 0.0138676594332
61629.6625513 0.0177988879892
62057.2880678 0.0227982322284
62487.8807201 0.0291429929118
62921.4610961 0.0371790111097
63358.0499266 0.0473367256531
63797.6680861 0.0601507765686
64240.3365939 0.0762838873705
64686.0766155 0.0965558994947
65134.9094627 0.121978997171
65586.8565957 0.153800354516
66041.9396233 0.193553662946
66500.1803043 0.243121261179
66961.6005485 0.304808897655
67426.2224178 0.381435512533
67894.068127 0.476440840611
68365.1600451 0.594014115426
68839.5206965 0.739247707445
69317.1727616 0.918320165315
69798.1390783 1.1387138598
70282.4426431 1.4094732671
70770.1066118 1.74151088551
71261.1543011 2.14796887085
71755.6091894 2.64464571883
72253.4949179 3.2504987329
72754.835292 3.9882346145
73259.6542822 4.88500231867
73767.9760253 5.97320435473
74279.8248256 7.29144500334
74795.2251562 8.88563649301
75314.2016597 10.8102870593
75836.77915 13.1299980279
76362.9826128 15.9212006488
76892.8372076 19.2741673978
77426.3682681 23.2953368843
77963.6013041 28.1099964018
78504.562002 33.8653715632
79049.276227 40.7341784148
79597.7700231 48.9186999672
80150.0696157 58.6554562473
80706.2014115 70.2205448142
81266.1920009 83.9357372308
81830.0681587 100.175426274
82397.8568453 119.37452876
82969.5852083 142.037459766
83545.2805838 168.748305814
84124.9704974 200.182337256
84708.6826656 237.119013696
85296.4449974 280.456650863
85888.2855955 331.228932856
86484.2327573 390.623470237
87084.3149769 460.00262197
87688.5609459 540.926817734
88296.9995549 635.180636688
88909.6598953 744.80191928
89526.57126 872.114210156
90147.7631452 1019.76285265
90773.2652521 1190.75507858
91403.1074876 1388.50446109
92037.3199662 1616.88012326
92675.9330115 1880.2611203
93318.9771573 2183.5964395
93966.4831495 2532.47108807
94618.4819472 2933.17876576
95275.0047243 3392.80164583
95936.0828709 3919.29781437
96601.7479952 4521.59694432
97272.0319245 5209.70480598
97946.966707 5994.81724107
98626.5846131 6889.44425084
99310.9181375 7907.54487143
100000.0 9064.67353048
100693.863148 10378.1385977
101392.540756 11867.1738587
102096.066231 13553.1236553
102804.473209 15459.6424464
103517.795563 17612.9095494
104236.067398 20041.8598284
104959.323056 22778.4310919
105687.597118 25857.8289578
106420.924406 29318.8099339
107159.339982 33203.9834452
107902.879152 37560.1335158
108651.577465 42438.5607883
109405.470721 47895.4455234
110164.594963 53992.2321843
110928.98649 60796.0361585
111698.681847 68380.0731113
112473.717836 76824.1114017
113254.131515 86214.9479136
114039.960197 96646.9075761
114831.241454 108222.366751
115628.013121 121052.300567
116430.313292 135256.854173
117238.180329 150965.93775
118051.652857 168319.84502
118870.769771 187469.894821
119695.570236 208579.095194
120526.093687 231822.829263
121362.379834 257389.562037
