# col0 col1
10000.0 0.0
10069.3863148 0.0
10139.2540756 0.0
10209.6066231 0.0
10280.4473209 0.0
10351.7795563 0.0
10423.6067398 0.0
10495.9323056 0.0
10568.7597118 0.0
10642.0924406 0.0
10715.9339982 0.0
10790.2879152 0.0
10865.1577465 0.0
10940.5470721 0.0
11016.4594963 0.0
11092.898649 0.0
11169.8681847 0.0
11247.3717836 0.0
11325.4131515 0.0
11403.9960197 0.0
11483.1241454 0.0
11562.8013121 0.0
11643.0313292 0.0
11723.8180329 0.0
11805.1652857 0.0
11887.0769771 0.0
11969.5570236 0.0
12052.6093687 0.0
12136.2379834 0.0
12220.4468663 0.0
12305.2400436 0.0
12390.6215695 0.0
12476.5955263 0.0
12563.1660247 0.0
12650.337204 0.0
12738.1132319 0.0
12826.4983053 0.0
12915.4966501 0.0
13005.1125217 0.0
13095.3502048 0.0
13186.2140139 0.0
13277.7082936 0.0
13369.8374182 0.0
13462.605793 0.0
13556.0178533 0.0
13650.0780655 0.0
13744.7909268 0.0
13840.1609657 0.0
13936.1927422 0.0
14032.8908479 0.0
14130.259906 0.0
14228.3045721 0.0
14327.0295341 0.0
14426.4395122 0.0
14526.5392595 0.0
14627.333562 0.0
14728.8272391 0.0
14831.0251434 0.0
14933.9321612 0.0
15037.553213 1e-26
15141.893253 2e-26
15246.9572702 4e-26
15352.7502878 8e-26
15459.2773642 1.5e-25
15566.5435927 2.9e-25
15674.5541021 5.6e-25
15783.3140565 1.08e-24
15892.8286562 2.08e-24
16003.1031374 3.98e-24
16114.1427725 7.57e-24
16225.9528708 1.434e-23
16338.5387781 2.703e-23
16451.9058775 5.071e-23
16566.0595895 9.471e-23
16681.005372 1.7607e-22
16796.7487209 3.2581e-22
16913.2951703 6.0018e-22
17030.6502925 1.10059e-21
17148.8196987 2.0092e-21
17267.8090388 3.65162e-21
17387.6240022 6.6073e-21
17508.2703174 1.190294e-20
17629.7537529 2.134951e-20
17752.0801172 3.812755e-20
17875.255259 6.779847e-20
17999.2850678 1.2004492e-19
18124.1754737 2.1165251e-19
18249.9324482 3.7159637e-19
18376.5620039 6.4968158e-19
18504.0701954 1.13115789e-18
18632.4631193 1.9613357e-18
18761.7469144 3.3868739e-18
18891.9277621 5.82474329e-18
19023.0118867 9.97694118e-18
19155.0055557 1.702052697e-17
19287.9150802 2.892115182e-17
19421.7468149 4.89482425e-17
19556.5071587 8.251813709e-17
19692.2025548 1.3856843077e-16
19828.8394913 2.3178933603e-16
19966.4245011 3.8623220974e-16
20104.9641626 6.4112239436e-16
20244.4650998 1.06018653112e-15
20384.9339825 1.74656146106e-15
20526.3775271 2.866533473e-15
20668.8024963 4.68719408998e-15
20812.2156999 7.63594473892e-15
20956.6239948 1.23941743964e-14
21102.0342857 2.00441851777e-14
21248.453525 3.22987788347e-14
21395.8887134 5.18586887965e-14
21544.3469003 8.29670138093e-14
21693.8351839 1.32266108325e-13
21844.3607115 2.10117148587e-13
21995.9306803 3.32624911922e-13
22148.5523373 5.24733594075e-13
22302.2329797 8.24943467361e-13
22456.9799554 1.29247174067e-12
22612.8006634 2.01808628598e-12
22769.7025538 3.14043926352e-12
22927.6931287 4.870607959e-12
23086.7799419 7.52884062744e-12
23246.9705999 1.15993903804e-11
23408.2727618 1.78120647495e-11
23570.69414 2.72631004959e-11
23734.2425002 4.15937306151e-11
23898.9256623 6.32531066826e-11
24064.7515002 9.58841539119e-11
24231.7279424 1.44887989087e-10
24399.8629726 2.18246857814e-10
24569.1646298 3.27720134835e-10
24739.6410089 4.90576945939e-10
24911.3002607 7.32098203321e-10
25084.1505928 1.08917832074e-09
25258.2002696 1.61549366718e-09
25433.457613 2.38889617192e-09
25609.9310026 3.52195731862e-09
25787.6288759 5.17695864892e-09
25966.5597293 7.58713879379e-09
26146.732118 1.10867168824e-08
26328.1546565 1.61531895969e-08
26510.8360191 2.34667408562e-08
26694.7849403 3.3993439244e-08
26880.0102154 4.91014033503e-08
27066.5207003 7.07225224998e-08
27254.3253128 1.01576940857e-07
27443.4330323 1.45483759813e-07
27633.8529005 2.07789834144e-07
27825.5940221 2.95959854436e-07
28018.6655646 4.20386073003e-07
28213.0767594 5.95496291831e-07
28408.8369018 8.4126572278e-07
28605.9553518 1.18527418401e-06
28804.441534 1.66549758479e-06
29004.3049386 2.33408536887e-06
29205.5551218 3.26245818284e-06
29408.2017059 4.5481685027e-06
29612.2543799 6.32410899221e-06
29817.7229002 8.77083885035e-06
30024.6170909 1.21330399476e-05
30232.9468441 1.67414282224e-05
30442.7221206 2.30418520284e-05
30653.9529506 3.16338337591e-05
30866.6494334 4.33214867969e-05
31080.8217387 5.91806078039e-05
31296.4801067 8.06468562772e-05
31513.6348487 0.000109631353874
31732.2963473 0.00014867184614
31952.4750576 0.000201129869654
32174.1815068 0.000271447283269
32397.4262953 0.00036547920806
32622.2200971 0.000490925068015
32848.5736603 0.000657885268058
33076.4978074 0.000879578377161
33306.0034362 0.00117326285641
33537.10152 0.00156141881809
33769.8031083 0.00207325954936
34004.119327 0.00274666022419
34240.0613797 0.00363061313514
34477.6405473 0.0047883458419
34716.8681893 0.00630127198469
34957.7557436 0.00827398550699
35200.314728 0.0108405593012
35444.5567397 0.0141724707773
35690.4934568 0.0184885518792
35938.136638 0.0240674523905
36187.4981241 0.0312632162517
36438.5898376 0.040524704918
36691.423784 0.0524197640795
36946.012052 0.067665225698
37202.3668141 0.0871640725859
37460.5003275 0.112051374997
37720.4249342 0.14375094652
37982.1530619 0.184045069911
38245.6972247 0.235160123996
38511.0700233 0.299871513769
38778.2841459 0.381631982798
39047.3523689 0.484728187863
39318.2875571 0.614471360684
39591.1026647 0.777428994246
39865.8107358 0.981705798012
40142.424905 1.23728369788
40420.958398 1.55643244728
40701.4245322 1.9542045047
40983.8367176 2.44903026363
41268.208457 3.0634325439
41554.5533472 3.82488252301
41842.885079 4.76682306606
42133.2174385 5.92988977104
42425.5643072 7.36336506139
42719.9396631 9.12690641386
43016.3575811 11.2925964032
43314.8322338 13.9473697785
43615.3778921 17.1958813747
43918.008926 21.163888434
44222.7398051 26.0022319965
44529.5850994 31.8915145751
44838.5594802 39.0475855107
45149.6777204 47.7279613854
45462.9546953 58.2393268453
45778.4053838 70.9462813456
46096.0448683 86.281519899
46415.8883361 104.757661104
46737.9510799 126.980963803
47062.2484984 153.667204921
47388.7960972 185.660025625
47717.6094894 223.9520912
48048.7043966 269.709452276
48382.0966493 324.299541492
48717.8021879 389.323290744
49055.8370637 466.651910034
49396.2174388 558.468930056
49738.9595879 667.318177184
50084.0798985 796.158421932
50431.5948717 948.425520405
50781.5211233 1128.10295312
51133.8753841 1339.80175707
51488.6745014 1588.85094547
51845.9354389 1881.39961487
52205.6752785 2224.53205282
52567.9112202 2626.39727896
52932.6605836 3096.35458115
53299.9408084 3645.1367434
53669.7694554 4285.03280618
54042.1642071 5030.0923503
54417.1428687 5896.35345441
54794.723369 6902.09664156
55174.9237613 8068.1273033
55557.762224 9418.08926854
55943.2570617 10978.8123703
56331.426706 12780.6970532
56722.2897164 14858.1392615
57115.8647813 17249.9990433
57512.1707184 20000.1165129
57911.2264764 23157.8790128
58313.0511353 26778.8435212
58717.6639073 30925.4185556
59125.0841383 35667.6100202
59535.3313081 41083.8356404
59948.4250319 47261.8128177
60364.3850608 54299.5249164
60783.231283 62306.2711638
61204.9837248 71403.8055022
61629.6625513 81727.5698689
62057.2880678 93428.0275049
62487.8807201 106672.101992
62921.4610961 121644.727796
63358.0499266 138550.518136
63797.6680861 157615.55604
64240.3365939 179089.314395
64686.0766155 203246.710794
65134.9094627 230390.30285
65586.8565957 260852.629553
66041.9396233 294998.704023
66500.1803043 333228.662826
66961.6005485 375980.576699
67426.2224178 423733.427234
67894.068127 477010.25363
68365.1600451 536381.473215
68839.5206965 602468.378872
69317.1727616 675946.815975
69798.1390783 757551.040735
70282.4426431 848077.761184
70770.1066118 948390.36121
71261.1543011 1059423.30722
71755.6091894 1182186.73605
72253.4949179 1317771.22183
72754.835292 1467352.71825
73259.6542822 1632197.67189
73767.9760253 1813668.30066
74279.8248256 2013228.03046
74795.2251562 2232447.08178
75314.2016597 2473008.19641
75836.77915 2736712.49329
76362.9826128 3025485.44086
76892.8372076 3341382.93177
77426.3682681 3686597.44445
77963.6013041 4063464.27418
78504.562002 4474467.81499
79049.276227 4922247.87201
79597.7700231 5409605.98215
80150.0696157 5939511.71975
80706.2014115 6515108.96181
81266.1920009 7139722.08641
81830.0681587 7816862.07573
82397.8568453 8550232.49445
82969.5852083 9343735.31215
83545.2805838 10201476.5375
84124.9704974 11127771.6305
84708.6826656 12127150.6584
85296.4449974 13204363.1588
85888.2855955 14364382.6741
86484.2327573 15612410.9192
87084.3149769 16953881.5445
87688.5609459 18394463.4555
88296.9995549 19940063.6508
88909.6598953 21596829.5381
89526.57126 23371150.6902
90147.7631452 25269660.0021
90773.2652521 27299234.21
91403.1074876 29466993.7354
92037.3199662 31780301.8171
92675.9330115 34246762.8943
93318.9771573 36874220.2079
93966.4831495 39670752.5851
94618.4819472 42644670.377
95275.0047243 45804510.5194
95936.0828709 49159030.6897
96601.7479952 52717202.534
97272.0319245 56488203.9433
97946.966707 60481410.3588
98626.5846131 64706385.0888
99310.9181375 69172868.6252
100000.0 73890766.9488
100693.863148 78870138.8167
101392.540756 84121182.0296
102096.066231 89654218.6797
102804.473209 95479679.3842
103517.795563 101608086.513
104236.067398 108050036.427
104959.323056 114816180.736
105687.597118 121917206.612
106420.924406 129363816.17
107159.339982 137166704.954
107902.879152 145336539.566
108651.577465 153883934.469
109405.470721 162819428.014
