# col0 col1
10000.0 0.0
10069.3863148 0.0
10139.2540756 0.0
10209.6066231 0.0
10280.4473209 0.0
10351.7795563 0.0
10423.6067398 0.0
10495.9323056 0.0
10568.7597118 0.0
10642.0924406 0.0
10715.9339982 0.0
10790.2879152 0.0
10865.1577465 0.0
10940.5470721 0.0
11016.4594963 0.0
11092.898649 0.0
11169.8681847 0.0
11247.3717836 0.0
11325.4131515 0.0
11403.9960197 0.0
11483.1241454 0.0
11562.8013121 0.0
11643.0313292 0.0
11723.8180329 0.0
11805.1652857 0.0
11887.0769771 0.0
11969.5570236 0.0
12052.6093687 0.0
12136.2379834 0.0
12220.4468663 0.0
12305.2400436 0.0
12390.6215695 0.0
12476.5955263 0.0
12563.1660247 0.0
12650.337204 0.0
12738.1132319 0.0
12826.4983053 0.0
12915.4966501 0.0
13005.1125217 0.0
13095.3502048 0.0
13186.2140139 0.0
13277.7082936 0.0
13369.8374182 0.0
13462.605793 0.0
13556.0178533 0.0
13650.0780655 0.0
13744.7909268 0.0
13840.1609657 0.0
13936.1927422 0.0
14032.8908479 0.0
14130.259906 0.0
14228.3045721 0.0
14327.0295341 0.0
14426.4395122 0.0
14526.5392595 0.0
14627.333562 0.0
14728.8272391 0.0
14831.0251434 0.0
14933.9321612 0.0
15037.553213 0.0
15141.893253 0.0
15246.9572702 0.0
15352.7502878 0.0
15459.2773642 0.0
15566.5435927 0.0
15674.5541021 0.0
15783.3140565 0.0
15892.8286562 0.0
16003.1031374 0.0
16114.1427725 0.0
16225.9528708 0.0
16338.5387781 0.0
16451.9058775 0.0
16566.0595895 0.0
16681.005372 0.0
16796.7487209 0.0
16913.2951703 0.0
17030.6502925 0.0
17148.8196987 0.0
17267.8090388 0.0
17387.6240022 0.0
17508.2703174 0.0
17629.7537529 0.0
17752.0801172 0.0
17875.255259 0.0
17999.2850678 0.0
18124.1754737 0.0
18249.9324482 0.0
18376.5620039 0.0
18504.0701954 0.0
18632.4631193 0.0
18761.7469144 0.0
18891.9277621 0.0
19023.0118867 0.0
19155.0055557 0.0
19287.9150802 0.0
19421.7468149 0.0
19556.5071587 0.0
19692.2025548 0.0
19828.8394913 0.0
19966.4245011 0.0
20104.9641626 0.0
20244.4650998 0.0
20384.9339825 0.0
20526.3775271 0.0
20668.8024963 0.0
20812.2156999 0.0
20956.6239948 0.0
21102.0342857 0.0
21248.453525 0.0
21395.8887134 0.0
21544.3469003 0.0
21693.8351839 0.0
21844.3607115 0.0
21995.9306803 0.0
22148.5523373 0.0
22302.2329797 0.0
22456.9799554 0.0
22612.8006634 0.0
22769.7025538 0.0
22927.6931287 0.0
23086.7799419 0.0
23246.9705999 0.0
23408.2727618 0.0
23570.69414 0.0
23734.2425002 0.0
23898.9256623 0.0
24064.7515002 0.0
24231.7279424 0.0
24399.8629726 0.0
24569.1646298 0.0
24739.6410089 0.0
24911.3002607 0.0
25084.1505928 0.0
25258.2002696 0.0
25433.457613 0.0
25609.9310026 0.0
25787.6288759 0.0
25966.5597293 0.0
26146.732118 0.0
26328.1546565 0.0
26510.8360191 0.0
26694.7849403 0.0
26880.0102154 0.0
27066.5207003 0.0
27254.3253128 0.0
27443.4330323 0.0
27633.8529005 0.0
27825.5940221 0.0
28018.6655646 0.0
28213.0767594 0.0
28408.8369018 0.0
28605.9553518 0.0
28804.441534 0.0
29004.3049386 0.0
29205.5551218 0.0
29408.2017059 0.0
29612.2543799 0.0
29817.7229002 0.0
30024.6170909 0.0
30232.9468441 0.0
30442.7221206 0.0
30653.9529506 0.0
30866.6494334 0.0
31080.8217387 0.0
31296.4801067 0.0
31513.6348487 0.0
31732.2963473 0.0
31952.4750576 0.0
32174.1815068 0.0
32397.4262953 0.0
32622.2200971 0.0
32848.5736603 0.0
33076.4978074 0.0
33306.0034362 0.0
33537.10152 0.0
33769.8031083 0.0
34004.119327 0.0
34240.0613797 0.0
34477.6405473 0.0
34716.8681893 1e-26
34957.7557436 1e-26
35200.314728 2e-26
35444.5567397 4e-26
35690.4934568 8e-26
35938.136638 1.5e-25
36187.4981241 2.9e-25
36438.5898376 5.6e-25
36691.423784 1.05e-24
36946.012052 1.97e-24
37202.3668141 3.68e-24
37460.5003275 6.86e-24
37720.4249342 1.27e-23
37982.1530619 2.343e-23
38245.6972247 4.302e-23
38511.0700233 7.862e-23
38778.2841459 1.4307e-22
39047.3523689 2.5919e-22
39318.2875571 4.675e-22
39591.1026647 8.3954e-22
39865.8107358 1.5011e-21
40142.424905 2.67244e-21
40420.958398 4.73745e-21
40701.4245322 8.36244e-21
40983.8367176 1.469897e-20
41268.208457 2.572871e-20
41554.5533472 4.484762e-20
41842.885079 7.785086e-20
42133.2174385 1.3458678e-19
42425.5643072 2.3172274e-19
42719.9396631 3.9735109e-19
43016.3575811 6.7862801e-19
43314.8322338 1.15439071e-18
43615.3778921 1.95591287e-18
43918.008926 3.30091017e-18
44222.7398051 5.54903198e-18
44529.5850994 9.29205535e-18
44838.5594802 1.549990466e-17
45149.6777204 2.575612364e-17
45462.9546953 4.263612138e-17
45778.4053838 7.031241137e-17
46096.0448683 1.1551934807e-16
46415.8883361 1.8908502863e-16
46737.9510799 3.0835457808e-16
47062.2484984 5.0100907079e-16
47388.7960972 8.1106137606e-16
47717.6094894 1.30823489994e-15
48048.7043966 2.10257976847e-15
48382.0966493 3.36716778484e-15
48717.8021879 5.37320328593e-15
49055.8370637 8.54414600239e-15
49396.2174388 1.35388410673e-14
49738.9595879 2.13787471418e-14
50084.0798985 3.36419655793e-14
50431.5948717 5.27581030788e-14
50781.5211233 8.24548026855e-14
51133.8753841 1.28431608472e-13
51488.6745014 1.99373393957e-13
51845.9354389 3.08469239656e-13
52205.6752785 4.75681104897e-13
52567.9112202 7.31120972513e-13
52932.6605836 1.12006118107e-12
53299.9408084 1.71034295331e-12
53669.7694554 2.60329471056e-12
54042.1642071 3.94976995511e-12
54417.1428687 5.97362822403e-12
54794.723369 9.00600170093e-12
55174.9237613 1.35351403384e-11
55557.762224 2.02786854342e-11
55943.2570617 3.02881298702e-11
56331.426706 4.50993214886e-11
56722.2897164 6.69486225829e-11
57115.8647813 9.90823982054e-11
57512.1707184 1.46198754413e-10
57911.2264764 2.15076096432e-10
58313.0511353 3.15464778789e-10
58717.6639073 4.61348121838e-10
59125.0841383 6.72720417119e-10
59535.3313081 9.78086351557e-10
59948.4250319 1.41796408744e-09
60364.3850608 2.04978047791e-09
60783.231283 2.95469152738e-09
61204.9837248 4.24705749705e-09
61629.6625513 6.08756766021e-09
62057.2880678 8.70136803191e-09
62487.8807201 1.24030273619e-08
62921.4610961 1.76308230394e-08
63358.0499266 2.49936928446e-08
63797.6680861 3.53353507943e-08
64240.3365939 4.98215972056e-08
64686.0766155 7.00588836772e-08
65134.9094627 9.82548776188e-08
65586.8565957 1.37435308324e-07
66041.9396233 1.91736025567e-07
66500.1803043 2.66795294391e-07
66961.6005485 3.70279312105e-07
67426.2224178 5.12584310274e-07
67894.068127 7.07772090258e-07
68365.1600451 9.74813318936e-07
68839.5206965 1.33923550126e-06
69317.1727616 1.83530166398e-06
69798.1390783 2.50888321454e-06
70282.4426431 3.42123842395e-06
70770.1066118 4.65396933404e-06
71261.1543011 6.31550812172e-06
71755.6091894 8.54958344631e-06
72253.4949179 1.15462435045e-05
72754.835292 1.55561721681e-05
73259.6542822 2.09092360244e-05
73767.9760253 2.8038453654e-05
74279.8248256 3.75108967066e-05
74795.2251562 5.00674307562e-05
75314.2016597 6.66737014677e-05
75836.77915 8.85853913741e-05
76362.9826128 0.000117431542598
76892.8372076 0.00015532069519
77426.3682681 0.000204975770522
77963.6013041 0.000269905084002
78504.562002 0.000354618660873
79049.276227 0.00046490122466
79597.7700231 0.000608155915419
80150.0696157 0.000793836076491
80706.2014115 0.00103398644543
81266.1920009 0.00134391994114
81830.0681587 0.00174306212585
82397.8568453 0.00225600253809
82969.5852083 0.00291380067881
83545.2805838 0.00375560476469
84124.9704974 0.00483065376597
84708.6826656 0.00620074810134
85296.4449974 0.00794329211084
85888.2855955 0.0101550325842
86484.2327573 0.0129566427802
87084.3149769 0.0164983312208
87688.5609459 0.0209666898712
88296.9995549 0.0265930380349
88909.6598953 0.033663567439
89526.57126 0.0425316517528
90147.7631452 0.053632751519
90773.2652521 0.0675024247323
91403.1074876 0.0847980458001
92037.3199662 0.106324943353
92675.9330115 0.133067792535
93318.9771573 0.166228242506
93966.4831495 0.207269927694
94618.4819472 0.257972204984
95275.0047243 0.320494181967
95936.0828709 0.397450857449
96601.7479952 0.49200348888
97272.0319245 0.607966636944
97946.966707 0.749934720319
98626.5846131 0.923431349358
99310.9181375 1.13508520216
100000.0 1.3928367671
100693.863148 1.70618090959
101392.540756 2.08645093531
102096.066231 2.54715062636
102804.473209 3.10434162943
103517.795563 3.77709458581
104236.067398 4.58801352287
104959.323056 5.56384428561
105687.597118 6.7361791873
106420.924406 8.14227161191
107159.339982 9.82597602065
107902.879152 11.8388307137
108651.577465 14.2413027901
109405.470721 17.1042170465
110164.594963 20.510393076
110928.98649 24.5565175805
111698.681847 29.3552819175
112473.717836 35.0378181673
113254.131515 41.7564705558
114039.960197 49.6879429026
114831.241454 59.0368669103
115628.013121 70.0398405653
116430.313292 82.9699907104
117238.180329 98.1421189695
118051.652857 115.918495674
118870.769771 136.715372255
119695.570236 161.010288748
120526.093687 189.350259565
121362.379834 222.360927589
122204.468663 260.756783867
123052.400436 305.352557723
123906.215695 357.075890057
124765.955263 416.981410727
125631.660247 486.266349453
126503.37204 566.287818391
127381.132319 658.581913516
128264.983053 764.884791077
129154.966501 887.155884716
130051.125217 1027.60343819
